tweet:text,tweet:id,account:id,account:name,account:created_at,account:verified,tweet:retweets_count,tweet:favorites_count,account:followers_count,account:friends_count,account:listed_count,account:user_favorites,account:user_statuses,account:default_profile,account:default_profile_image,tweet:datetime,tweet:is_reply,tweet:is_quote
Soy el Clint Eastwood de los Puentes de Madison en todas las putas historias de amor que me han tocado.,9.16186E+17,8.54552E+17,not_luz,Wed Apr 19 04:26:00 +0000 2017,0,0,0,1,120,0,18,75,1,0,2017-10-06 06:17:07+00:00,0,0
"Actualmente ya pasó de moda la pucha joto, ahora sólo quedamos los verdaderos seguidores, los que amamos este estilo de vida.",9.20509E+17,7.20706E+17,l3orrego,Thu Apr 14 20:13:13 +0000 2016,0,0,3,289,240,2,14228,7557,1,0,2017-10-18 04:38:35+00:00,0,0
"¿Es cierto esto? Y no me refiero a lo que dijo, ni al tweet, sino a👉<URL>¿Están tratando de sacarlo del programa?",9.07905E+17,150543906,Cinnamoon,Tue Jun 01 05:46:36 +0000 2010,0,0,0,491,1467,5,9978,14606,0,0,2017-09-13 09:54:35+00:00,1,0
Vuela pega y esquiva... la neta está de la vergaaaa pero es pegajosa!!,9.28133E+17,45450273,DonGarcia_,Sun Jun 07 23:31:00 +0000 2009,0,0,3,1968,985,20,15028,47431,0,0,2017-11-08 05:32:03+00:00,0,0
Mejor puto disfraz de la noche!!!! 👊👊👊Por tercer año consecutivo morros,9.27062E+17,177383115,becerrilxa,Thu Aug 12 00:24:57 +0000 2010,0,0,1,180,206,4,112,20774,0,0,2017-11-05 06:37:05+00:00,0,0
"YA SE CONVIRTIÓ LA K  EN VIRGEN MARIA ,AHORA SI YA ESTA MAS LOCA",9.20086E+17,145835910,sll666,Thu May 20 00:38:09 +0000 2010,0,0,0,85,294,0,3906,15149,0,0,2017-10-17 00:34:48+00:00,1,0
"Hoy en día ya casi nadie se muere por VIH, se mueren por pendejos, por no hacerme chequeos continuos sabiendo lo putos que son.",9.17516E+17,516842399,AlanCztr,Tue Mar 06 20:06:03 +0000 2012,0,0,9,3313,499,2,13526,13409,0,0,2017-10-09 22:22:40+00:00,0,0
"Me quedé sin novia, sin amante &amp; sin ex ... todo en el mismo puto fin de semana ...",9.27333E+17,103780811,Mar_Tellezs,Mon Jan 11 06:41:48 +0000 2010,0,0,2,207,257,3,1460,15125,0,0,2017-11-06 00:34:23+00:00,0,0
Woou rulo invita..yo tambien quiero mamar esa panocha deliciosa y clavarsela,9.25981E+17,9.05115E+17,RamirezRicarrdo,Tue Sep 05 17:05:23 +0000 2017,0,0,0,5,46,0,154,234,1,0,2017-11-02 07:00:18+00:00,1,0
Iba a escribir un tuit disculpándome por todos a los que no les respondí WA en los 3 días que no sirvió mi cel y nadie me putas escribió. ☹️,9.14973E+17,308512319,Raven_Fenrir,Tue May 31 14:52:52 +0000 2011,0,0,0,634,269,8,5645,29325,0,0,2017-10-02 21:59:18+00:00,0,0
Me acorde de cuando me internaron y que diego le enseño a mi mama todas las fotos feas que le mando 😂😂ya son bien befis ellos,9.09991E+17,353351719,IvyRm,Thu Aug 11 23:09:49 +0000 2011,0,0,0,500,514,2,6959,21462,0,0,2017-09-19 04:03:06+00:00,0,0
"Te llevaría conmigo, pero me esta llevando la verga, y no quiero llevarte allá.",9.0515E+17,366428649,AdrianSalazS,Fri Sep 02 04:48:12 +0000 2011,0,0,4,430,207,1,2516,32859,0,0,2017-09-05 19:23:59+00:00,0,0
