tweet:text,tweet:id,account:id,account:name,account:created_at,account:verified,tweet:retweets_count,tweet:favorites_count,account:followers_count,account:friends_count,account:listed_count,account:user_favorites,account:user_statuses,account:default_profile,account:default_profile_image,tweet:datetime,tweet:is_reply,tweet:is_quote
"De las cosas que más me gustan de ese hombre, es su sonrisa ☺️ cada vez que me sonríe me vuelve loca.",920844841948467200,217296970,TanyGC,Fri Nov 19 03:30:01 +0000 2010,0,0,0,164,76,6,3958,11257,0,0,2017-10-19 02:51:33+00:00,0,0
Y la gente marica que borra los tuits para que no les carguen carrilla 🙄,917493766025392129,336320708,dann_bill,Sat Jul 16 03:10:22 +0000 2011,0,0,3,30,92,1,178,3026,0,0,2017-10-09 20:55:34+00:00,1,0
@USUARIO  @USUARIO  Si que HDP mira que arrestar a una hermana rebolucionaria que estava defendiendo derecho  de las mugeres!!! Apaga telebiza donvixpeñavot,922609522136449024,56829588,KrlitoBrigante,Tue Jul 14 21:56:03 +0000 2009,0,0,1,7881,2287,71,97711,106208,0,0,2017-10-23 23:43:45+00:00,1,0
"@USUARIO @USUARIO Claro que no les conviene, llevan su tajada éstos ladrónes HDP, son una vergüenza la sociedad los repudia, parásitos!!",921552109362757633,1906523684,AcevesBahena,Thu Sep 26 03:59:26 +0000 2013,0,0,0,27,49,0,5214,2882,1,0,2017-10-21 01:41:59+00:00,1,0
"Ya ni en Twitter te dejan mamar agusto, pinche sociedad sensible y marica.",909994288574058496,624872254,BurrosDelApa,Mon Jul 02 18:00:19 +0000 2012,0,64,132,25625,159,31,1856,11838,0,0,2017-09-19 04:15:19+00:00,0,0
Cadena de oración para que pase algo que quiero que pase y me daría el chance de dejar este fucking trabajo que ya me tiene hasta la verga.,905249169408974848,1722583052,Metaforastero,Mon Sep 02 14:57:37 +0000 2013,0,0,4,669,476,7,9527,12327,0,0,2017-09-06 01:59:55+00:00,0,0
Cuando tus tíos no te eligen en ningún equipo de fútbol porque saben que eres joto 😂😂😂👑,920851681549717504,267403764,isaiTinal,Wed Mar 16 22:09:12 +0000 2011,0,0,0,767,624,4,15308,8658,0,0,2017-10-19 03:18:44+00:00,0,0
"A quien se lo esta llevando la chingada la uni? Sip, a todos menos a mi putas",917858684365103105,2523174804,Heartstormydown,Sun May 25 18:01:58 +0000 2014,0,0,0,9,136,0,407,227,0,0,2017-10-10 21:05:37+00:00,0,0
"Chinga tu madre puto hambreado igual que todos los putos políticos, y tú más además de gato lamehuevos",917087113484603392,68543356,jeric_mainman,Mon Aug 24 23:29:48 +0000 2009,0,0,0,30,117,0,535,1704,0,0,2017-10-08 17:59:41+00:00,1,0
"Mi madre no deja de decir que se va acabar el mundo en dos semanas, me mete miedo😕",905263218209300482,3299733426,belen2valerio,Tue Jul 28 18:39:22 +0000 2015,0,0,0,158,546,4,10445,5546,0,0,2017-09-06 02:55:44+00:00,0,0
