# Sin contenido
Expresión	Polaridad	Significado	EjemploPositivo	EjemploNegativo

mala onda	-	#	#
no manches	+/-	exclamación	no manches!! que bien nos salió el evento	no manches! atropellaron a mi compañero de clases
no mames	+/-	exclamación	no mames!!! me gané la lotería!!	no mames!!!
no ma	+/-	no mames	#	#
puta madre	+/-	exclamación	Somos una banda de puta madre y hacemos música como nadie	puta madre!!! ya nos cargó el payaso
a toda madre	+	estupendo	Aquí a toda madre!! asoléandome en Acapulco
estas bien wey	-	tonto	#	estas bien wey, no sabes hacer nada	#
wey	+/-	amigo	que onda wey, que gusto verte!	a ver wey, que parte de no te soporto no entendiste
hasta el keke	-	borracho	#	andaba hasta el keke y no se como llegué a mi casa
hasta el keke	-	harto	#	me tienen hasta el keke estos mensos
hasta la madre	-	borracho	#	nos pusimos hasta la madre y despertamos con la cara de crudos y oliendo bien culero
hasta la madre	-	enojo	#	este tráfico ya me tiene hasta la madre, siempre llego tarde
hasta la mauser	-	enojo	#	#
hasta la ma	-	borracho	#	#
hasta la ma	-	harto	#	#
ta madre	-	molestia	#	ta madre! se me acabó el crédito del celular
mta madre	-	molestia	#	mta madre! no puedo pedir un favor sin que me pidan nada a cambio
partir la madre	-	golpear	#	si sigues chingando te voy a partir la madre!!!
romper la madre	-	golpear	#	como vuelvas a faltarme al respeto te rompo la madre!!!
ni madres	-	no	#	Queeee!!!!! tanto dinero!!!!?? Ni madres !!!...pendejo!
ni pedo	-	ni modo	#	Ni pedo!! me tocó perder esta vez
que pedo	-	reclamación	#	que pedo contigo!! ya te estás pasando de ojete
que pedo	+	saludo	que pedo wey, ya saliste de la uni, vamos por unas frías!	#
andar pedo	-	borracho	#	ya ando pedo, se va a poner fea la cosa
estar pedo	-	borracho	#	estas diciendo pendejadas, ya estas pedo!!
peda	-	borrachera	#	#
andar cuete	-	borracho	#	#
estar cuete	-	borracho	#	#
hay pedo	-	problema	#	ya hubo pedo, esto no va a terminar bien
sacar un pedo	-	asustar	#	#
pex	-	problema	#	ya hubo pex!!! no nos van a dejar entrar!!
que pex	-	reclamación	#	que pex contigo!! dijiste que ya te ibas a portar bien!
que pex	+	saludo	#	que pex!!!! ¿cómo has estado?
me lleva la chingada	-	problema	#	todo salió mal!! me lleva la chingada!!
me carga la chingada	-	problema	#	este trabajo es una porquería lo hicieron con las patas!!! me carga la chingada!!
me lleva la fregada	-	problema	#	#
me carga la fregada	-	problema	#	#
vete a la chingada	-	lárgate	#	vete a la chingada!! ya me tienes harto!
vete a la verga	-	lárgate	#	#
vete a la mierda	-	lárgate	#	#
poca madre	+/-	exclamación	este carro que acabo de comprarme está poca madre!!!	que poca madre tienes!!!! pudiste avisarme que no ibas a llegar!
putear	-	golpear	#	#
chinga	-	golpiza	#	su madre le dio una chinga por portarse mal!!
chinga	-	molestar	#	ahhh como chinga este vecino con su ruidero!!
putiza	-	golpiza	#	le dieron una putiza y casi lo matan
madriza	-	golpiza	#	le dieron la madriza de su vida!!! ahora si aprendió la lección
tranquiza	-	golpiza	#	#
putiza	-	apurado	#	ando en putiza tengo mucho trabajo y aun lo termino
putazo	-	golpe	#	de un putazo lo tiré al suelo
putazo	+	rápido	terminé el trabajo de un putazo y quedé libre para el fin de semana	#
puteado	-	golpeado	#	#
puteado	-	enfermo	#	#
puteado	-	cansado	#	#
puteado	-	feo	#	#
chingadazo	+	rápido	#	#
vergazo	-	golpe	#	le tuve que dar sus vergazos 
chingadazo	-	golpe	#	#
madrear	-	golpear	#	#
madreado	-	golpeado	#	#
madreado	-	enfermo	#	ando bien madreado, la gripa me dio muy fuerte
madreado	-	cansado	#	tuve mucho trabajo hoy, terminé bien madreado
madreado	-	feo	#	ese wey nació madreado
chupar	+/-	beber alcohol	estamos chupando tranquilos!!! que siga la fiesta!!!	por andar chupando en la calle, casi me meten al bote
pistear	+/-	beber alcohol	#	#
