#######################################################
#
# Diccionario de palabras y frases informales para el español 
#
# Es un diccionario formado por frases y palabras informales (670 elementos con carga emocional o elementos que aparecen frecuentemente).
# Ejemplos: finde a fin de semana, msj a mensaje, dep a descanse en paz, ex a pareja anterior, 3d a tercera dimensión, hdp a hijo de puta, d a de, x a por, 
# tv a televisión, entre otros. Dicho diccionario se encuentra al final de este mismo archivo.
#
# Please, cite the following paper if you are using this resource:
# Camacho, V., Sidorov, G., & Galicia, N. (2016). Aprendizaje automático de emociones en corpus balanceado de textos cortos informales de variedades del español (manuscrito enviado).
# 
# Information: vcamachob10@sagitario.cic.ipn.mx, vane.cv15@gmail.com
#######################################################

4d cuarta_dimensión
3d tercera_dimensión
ex pareja_anterior
móvil celular
móviles celulares
cel celular
celu celular
celus celulares
cels celulares
tel teléfono
tels teléfonos
phone teléfono
video película
videos películas
vídeo película
vídeos películas
pc computadora
pcs computadoras
laptop computadora
laptops computadoras
computers computadoras
computer computadora
bullying intimidación
bullly golpeador
bulli golpeador
mana amiga
manas amigas
manita amiga
manitas amigas
mika amiga
mikas amigas
friend amigo
friend amigos
hashtag etiqueta
hashtags etiquetas
hastags etiquetas
hastag etiqueta
peli película
pelis películas
movies películas
movie película
dj pinchadiscos
djs pinchadiscos
dvd video
dvds videos
tweet mensaje
tuit mensaje
tuits mensajes
tweets mensajes
msj mensaje
msjs mensajes
dm mensaje
dms mensajes
mensajito mensaje
mensajitos mensaje
whatsapp software_de_mensajería
watsap software_de_mensajería
bbm mensajería
tmb también
tb también
tmbn también
tmb también
tambien también
tv televisión
tvs televisiones
tele televisión
teles televisiones
tachero taxista
tacheros taxistas
fotos fotografías
foto fotografía
photos fotografías
photo fotografía
asombrar wow
pensar mmm
jajaja risas                                    
jejeje risas
jijiji risas
plata dinero
pasta dinero
cash dinero
money dinero
chancho cerdo
chanchos cerdos
chancha cerda
chanchas cerdas
cucho deforme
cucha deforme
cuchos deformes
cuchas deformes
kucho feo
kucha fea
kuchos feos
kuchas feas
cuco fantasma
cucos fantasmas
phantom fantasma
hdp hijo_de_puta
